date,home_team,away_team,tournament,elo_diff,fifa_rank_diff,avg_goals_scored_last5,avg_goals_conceded_last5,form_points,wc_experience,is_neutral,h2h_win_rate,result
1990-02-24,United States,Russia,Friendly,-14.21,96.5,-0.3333,0.5,-3.0,0.0,0,0.5,0
1990-02-27,Qatar,United Arab Emirates,Gulf Cup,-0.43,-7.0,-1.0,-1.2,0.0,0.0,1,0.5,1
1990-02-28,Egypt,Austria,Friendly,-0.53,-13.0,0.5,0.5,0.0,0.0,0,0.5,1
1990-02-28,France,Germany,Friendly,19.71,18.0,2.0,0.0,0.0,0.0,0,0.5,2
1990-03-01,Bahrain,Oman,Gulf Cup,-12.5,-28.0,-1.0,-0.5,-1.0,0.0,1,0.5,1
1990-03-02,Algeria,Nigeria,African Cup of Nations,9.15,17.0,1.1667,-0.1667,0.0,0.0,0,0.5,2
1990-03-02,Ivory Coast,Egypt,African Cup of Nations,-9.49,83.5,0.2667,0.9333,0.0,0.0,1,0.5,2
1990-03-03,Senegal,Kenya,African Cup of Nations,9.55,-25.0,-1.0,-1.5,-3.0,0.0,1,0.5,1
1990-03-03,Cameroon,Zambia,African Cup of Nations,-9.43,-10.0,1.0,2.0,0.0,0.0,1,0.5,0
1990-03-04,Oman,Qatar,Gulf Cup,-0.51,64.0,0.6667,0.6667,1.0,0.0,1,0.5,0
1990-03-05,Algeria,Ivory Coast,African Cup of Nations,28.48,-74.5,2.0,-0.75,0.0,0.0,0,0.5,2
1990-03-05,Bahrain,United Arab Emirates,Gulf Cup,-12.51,29.0,-0.8,-0.6667,0.0,0.0,1,0.5,2
1990-03-05,Nigeria,Egypt,African Cup of Nations,11.18,-8.0,1.1333,1.2,0.0,0.0,1,0.5,2
1990-03-06,Cameroon,Senegal,African Cup of Nations,-31.25,-29.0,0.0,1.3333,-1.0,0.0,1,0.5,0
1990-03-06,Mozambique,Angola,Friendly,0.0,5.0,0.0,0.0,0.0,0.0,0,0.5,2
1990-03-06,Zambia,Kenya,African Cup of Nations,11.37,-44.0,-0.3333,-1.3333,-1.0,0.0,1,0.5,2
1990-03-07,Kuwait,Qatar,Gulf Cup,-26.28,19.0,-0.5333,0.3333,-1.0,0.0,0,0.5,2
1990-03-07,Lesotho,Zimbabwe,Friendly,0.0,88.0,0.0,0.0,0.0,0.0,1,0.5,0
